Column2,Column3
"January 1, 1990",8.25
"July 13, 1990",8.00
"October 29, 1990",7.75
"November 14, 1990",7.50
"December 7, 1990",7.25
"December 19, 1990",7.00
"January 8, 1991",6.75
"February 1, 1991",6.25
"March 8, 1991",6.00
"April 30, 1991",5.75
"August 6, 1991",5.50
"September 13, 1991",5.25
"October 10, 1991",5.00
"November 6, 1991",4.75
"December 11, 1991",4.50
"December 20, 1991",4.00
"April 9, 1992",3.75
"July 2, 1992",3.25
"September 4, 1992",3.00
"February 4, 1994",3.25
"March 22, 1994",3.50
"April 18, 1994",3.75
"May 17, 1994",4.25
"August 16, 1994",4.75
"November 15, 1994",5.50
"February 1, 1995",6.00
"July 6, 1995",5.75
"December 19, 1995",5.50
"January 31, 1996",5.25
"March 25, 1997",5.50
"September 29, 1998",5.25
"October 15, 1998",5.00
"November 17, 1998",4.75
"June 30, 1999",5.00
"August 24, 1999",5.25
"November 16, 1999",5.50
"February 2, 2000",5.75
"March 21, 2000",6.00
"May 16, 2000",6.50
"January 3, 2001",6.00
"January 31, 2001",5.50
"March 20, 2001",5.00
"April 18, 2001",4.50
"May 15, 2001",4.00
"June 27, 2001",3.75
"August 21, 2001",3.50
"September 17, 2001",3.00
"October 2, 2001",2.50
"November 6, 2001",2.00
"December 11, 2001",1.75
"November 6, 2002",1.25
"June 25, 2003",1.00
"June 30, 2004",1.25
"August 10, 2004",1.50
"September 21, 2004",1.75
"November 10, 2004",2.00
"December 14, 2004",2.25
"February 2, 2005",2.50
"March 22, 2005",2.75
"May 3, 2005",3.00
"June 30, 2005",3.25
"August 9, 2005",3.50
"September 20, 2005",3.75
"November 1, 2005",4.00
"December 13, 2005",4.25
"January 31, 2006",4.50
"March 28, 2006",4.75
"May 10, 2006",5.00
"June 29, 2006",5.25
"September 18, 2007",4.75
"October 31, 2007",4.50
"December 11, 2007",4.25
"January 22, 2008",3.50
"January 30, 2008",3.00
"March 18, 2008",2.25
"April 30, 2008",2.00
"October 8, 2008",1.50
"October 29, 2008",1.00
"December 16, 2008",0 - 0.25
"December 16, 2015",0.25 - 0.5
"December 14, 2016",0.5 - 0.75
"March 15, 2017",0.75 - 1.00
"June 14, 2017",1.00 - 1.25
"December 13, 2017",1.25 - 1.50
"March 21, 2018",1.50 - 1.75
"June 13, 2018",1.75 - 2.00
"September 26, 2018",2.00 - 2.25
"December 19, 2018",2.25 - 2.50
"July 31, 2019",2.00 - 2.25
"September 18, 2019",1.75 - 2.00
"October 30, 2019",1.50 - 1.75
"March 3, 2020",1.00 - 1.25
"March 15, 2020",0 - 0.25
"March 16, 2022",0.25 - 0.50
"May 4, 2022",0.75 - 1.00
"June 15, 2022",1.50 - 1.75
"July 27, 2022",2.25 - 2.50
"September 21, 2022",3.00 - 3.25
"November 2, 2022",3.75 - 4.00
"December 14, 2022",4.25 - 4.50
"February 1, 2023",4.50 - 4.75
"March 22, 2023",4.75 - 5.00
"May 3, 2023",5.00 - 5.25